,id,name,tagline,industry,industry_2,type,address,street,street_number,zip,country,city,sectors
48,85919,Spark Networks,"Spark Networks – A Leading Provider of Iconic, Niche-Focused Brands.",Dating,,4,"11150 CA-2 #600, Los Angeles, CA 90025, USA",California 2,11150,,United States,West Los Angeles,"presentation,network,Intellectual Property,presentation,community"
65,1314213,The Johns Hopkins Bloomberg School of Public Health,"Research, education, and practice to find solutions for health problems",Kids,Education,8,"United States, Baltimore",,,,United States,Baltimore,
655,867000,Swarovski Group,Homepage - Swarovski Group,,,4,"Switzerland, Männedorf, Alte Landstrasse, 411",Alte Landstrasse,411,8708,Switzerland,Männedorf,
783,1428011,Flora Family Foundation,Flora Family Foundation supports public benefit organizations working throughout the world in diverse sectors,,,3,"United States, Menlo Park",,,,United States,Menlo Park,
972,2027180,Bosch IoT Campus,,,,14,"Ullsteinstraße 128, 12109 Berlin, Germany",Ullsteinstraße,128,12109,Germany,Berlin,
979,1504469,The American School in London,School in london,,,8,"United Kingdom, London",,,SW1A 2,United Kingdom,London,
1239,865395,Hewlett Packard,"Engineering experiences that amaze. We create technology with a purpose: to make life better for everyone, everywhere",,,4,"United States, Palo Alto",,,,United States,Palo Alto,"Music,robotic,wellness / beauty,Automotive,vr experiences,Aerospace,PaaS,Analytics"
1495,1477133,IFly.vc,iFly Venture Capital Fund - Discover Value in the Unsexy : iFly VC,,,3,"United States, Palo Alto",,,94301,United States,Palo Alto,
1756,1237176,Columbia Equity Partners,Columbia Equity Partners,,,3,"1625 Federal Ave E, Seattle, WA 98102, USA",Federal Avenue East,1625,98102,United States,Seattle,
1888,2021370,SRH Start-up Lab,,,,14,"Ernst-Reuter-Platz 10, 10587 Berlin, Germany",Ernst-Reuter-Platz,10,10587,Germany,Berlin,
2038,1532751,Waterford Institute of Technology,School in waterford,,Education,8,"Cork Rd, Waterford, Ireland",Cork Road,,,Ireland,Waterford,
2156,2027195,Thinkfarm,,,,14,"Oberlandstraße 26-35, 12099 Berlin, Germany",Oberlandstraße,26-35,12099,Germany,Berlin,
2276,109427,Tarsadia Investments,Private investment firm providing capital and strategic support for companies with substantial growth potential,,,4,"United States, Newport Beach",,,,United States,Newport Beach,
2317,1458250,Cennini Holding,Cenniniholding,,,15,"Belgium, Roeselare",,,8800,Belgium,Roeselare,
2334,1752590,Davao Doctors College,Quality health and wellness education in the philippines and east asean area,,,8,"Philippines, Davao City",,,8000,Philippines,Davao City,
2366,1588639,Lazaridis School of Business and Economics,"Business school of wilfrid laurier university located in waterloo, ontario",,,8,"Canada, Waterloo",,,N2J,Canada,Waterloo,
2374,112524,Black Diamond Ventures,Black Diamond Ventures,,,4,"United States, Glendale",,,,United States,Glendale,
2532,1390248,Stuyvesant High School,Pro Scientia Atque Sapientia,,,8,"United States, New York",,,,United States,New York,
2548,1634538,Anton & Luisa,Rooms & Creative Space in Berlin Mitte,,,12,"Wöhlertstraße 20, 10115 Berlin, Germany",Wöhlertstraße,,,Germany,Berlin,
