,id,name,tagline,industry,industry_2,type,address,street,street_number,zip,country,city,sectors
65,1314213,The Johns Hopkins Bloomberg School of Public Health,"Research, education, and practice to find solutions for health problems",Kids,Education,8,"United States, Baltimore",,,,United States,Baltimore,
423,1233426,Allunga Advisory,Boutique investment bank with an established track record of successful transactions,,,3,"19-29 Martin Pl, Sydney NSW 2000, Australia",Martin Place,19-29,2000,Australia,Sydney,
508,1477137,Keiretsu Capital,"Keiretsu Capital, LLC",,,3,"United States, Seattle",,,98104,United States,Seattle,
655,867000,Swarovski Group,Homepage - Swarovski Group,,,4,"Switzerland, Männedorf, Alte Landstrasse, 411",Alte Landstrasse,411,8708,Switzerland,Männedorf,
783,1428011,Flora Family Foundation,Flora Family Foundation supports public benefit organizations working throughout the world in diverse sectors,,,3,"United States, Menlo Park",,,,United States,Menlo Park,
919,2007412,Darwin Startups,Darwin Startups - Aceleradora e Ecossistema de Evolução para Startups,,,3,"Brazil, Florianópolis",,,88020-000,Brazil,Florianópolis,
979,1504469,The American School in London,School in london,,,8,"United Kingdom, London",,,SW1A 2,United Kingdom,London,
1910,1771530,Phytocontrol Group,Phytocontrol - Laboratoire d'analyses - Eaux et Aliments,,,2,"Naymès, Navès, Occitanie, France",,,81710,France,Navès,
2317,1458250,Cennini Holding,Cenniniholding,,,15,"Belgium, Roeselare",,,8800,Belgium,Roeselare,
2366,1588639,Lazaridis School of Business and Economics,"Business school of wilfrid laurier university located in waterloo, ontario",,,8,"Canada, Waterloo",,,N2J,Canada,Waterloo,
2374,112524,Black Diamond Ventures,Black Diamond Ventures,,,4,"United States, Glendale",,,,United States,Glendale,
2532,1390248,Stuyvesant High School,Pro Scientia Atque Sapientia,,,8,"United States, New York",,,,United States,New York,
2904,1528553,EAE Business School,School,,,8,"Spain, Barcelona",,,08007,Spain,Barcelona,
3038,2883337,Spoxies Research,Spoxies B.V.,,,2,"Netherlands, Utrecht",,,3511,Netherlands,Utrecht,
3177,1722972,London Academy of Music and Dramatic Art,School,,,16,"155 Talgarth Rd, Hammersmith, London W14 9DA, UK",Talgarth Road,,,United Kingdom,London,
3221,2884560,Soon,Soon | Collaborative Team Scheduling,,,2,"Netherlands, The Hague",,,2514,Netherlands,The Hague,
3225,86215,Sunbridge Partners,Sunbridge Partners,,,4,"United States, Beachwood",,,,United States,Beachwood,"partners,agency"
3316,2882834,Perspective Research,Perspective Business DesignHome - Perspective Business Design,,,2,"Netherlands, Amsterdam",,,1011 MG,Netherlands,Amsterdam,
3579,1713172,Dr. B. R. Ambedkar National Institute of Technology Jalandhar,Public engineering institute,,,4,"India, Jalandhar",,,144001,India,Jalandhar,
3602,1448661,B+office,,,,14,"Dudenstraße 10, 10965 Berlin, Germany",Dudenstraße,10,,Germany,Berlin,
3714,1713010,Aston Business School,School,,,4,"United Kingdom, Birmingham",,,B3 3,United Kingdom,Birmingham,
3734,935660,Vlerick Business School,"Vlerick Business School is a top European Management School, with campuses in Ghent, Brussels and Leuven",,,8,"Reep 1, 9000 Gent, Belgium",Reep,1,9000,Belgium,Gent,school
3823,1344588,Netherlands Chamber of Commerce,Organization in the united states that promotes commerce with the netherlands,,,16,"United States, New York",,,,United States,New York,
3825,1529315,Academy of Fine Arts and Design in Bratislava,School in bratislava,,,8,"Slovakia, Bratislava, Námestie Republiky",Námestie Republiky,,851 01,Slovakia,Bratislava,
4048,1233165,Axxess Capital,Axxess Capital is Investment Advisor of private equity funds,,,3,"Romania, Bucharest",,,,Romania,Bucharest,
4050,1862022,Paras Pharmaceuticals,"RB | Protect, heal and nurture",,,4,"India, Ahmedabad",,,380059,India,Ahmedabad,
4092,28327,Pharus Capital Management,Private fund manager and investment company,,,3,"Pace University Midtown Center, New York, NY 10176, USA",,,10176,United States,New York,
4184,1478176,Lycée privé Sainte-Geneviève,School in versailles,,,8,"France, Versailles",,,78000,France,Versailles,
4229,1500890,"Holgate School, Barnsley",School,,,8,"United Kingdom, Barnsley",,,S70 2,United Kingdom,Barnsley,
4366,1529350,Vilnius Academy of Arts,School in vilnius,,,8,"Lithuania, Vilnius",,,01108,Lithuania,Vilnius,
4403,1720296,Indian Institute of Technology (BHU) Varanasi,A public engineering institution founded in 1919 with 13 departments and three inter-disciplinary schools,,,4,"India, Varanasi",,,221002,India,Varanasi,
4479,1691395,Baylor Angel Network,Student-run investor network at baylor university providing start-up funds to entrepreneurs,,,3,"500 Speight Ave, Waco, TX 76798, USA",Speight Avenue,500,76798,United States,Waco,
4747,1861988,Grounded,GROUNDED® – Pure Plant Power,Food,,2,"United Kingdom, London",,,W10 6EH,United Kingdom,London,
4991,1532785,Hyper Group,Services on the capital and forex markets and accounting services,Legal,,2,"Bulgaria, Varna",,,9002,Bulgaria,Varna,
