,id,name,tagline,industry,industry_2,type,address,street,street_number,zip,country,city,sectors
48,85919,Spark Networks,"Spark Networks – A Leading Provider of Iconic, Niche-Focused Brands.",Dating,,4,"11150 CA-2 #600, Los Angeles, CA 90025, USA",California 2,11150,,United States,West Los Angeles,"presentation,network,Intellectual Property,presentation,community"
655,867000,Swarovski Group,Homepage - Swarovski Group,,,4,"Switzerland, Männedorf, Alte Landstrasse, 411",Alte Landstrasse,411,8708,Switzerland,Männedorf,
979,1504469,The American School in London,School in london,,,8,"United Kingdom, London",,,SW1A 2,United Kingdom,London,
1239,865395,Hewlett Packard,"Engineering experiences that amaze. We create technology with a purpose: to make life better for everyone, everywhere",,,4,"United States, Palo Alto",,,,United States,Palo Alto,"Music,robotic,wellness / beauty,Automotive,vr experiences,Aerospace,PaaS,Analytics"
1756,1237176,Columbia Equity Partners,Columbia Equity Partners,,,3,"1625 Federal Ave E, Seattle, WA 98102, USA",Federal Avenue East,1625,98102,United States,Seattle,
2038,1532751,Waterford Institute of Technology,School in waterford,,Education,8,"Cork Rd, Waterford, Ireland",Cork Road,,,Ireland,Waterford,
2317,1458250,Cennini Holding,Cenniniholding,,,15,"Belgium, Roeselare",,,8800,Belgium,Roeselare,
2366,1588639,Lazaridis School of Business and Economics,"Business school of wilfrid laurier university located in waterloo, ontario",,,8,"Canada, Waterloo",,,N2J,Canada,Waterloo,
2548,1634538,Anton & Luisa,Rooms & Creative Space in Berlin Mitte,,,12,"Wöhlertstraße 20, 10115 Berlin, Germany",Wöhlertstraße,,,Germany,Berlin,
2555,1811165,Yuan Ze University,"Private university located in Taoyuan City, Taiwan",,,8,"No. 135, Yuandong Road, Zhongli District, Taoyuan City, Taiwan 320",Yuandong Road,135,320,Taiwan,Taoyuan City,
2732,2024465,Caterwings,Caterwings en-DE,,,2,"Berlin, Germany",,,10117,Germany,Berlin,
2904,1528553,EAE Business School,School,,,8,"Spain, Barcelona",,,08007,Spain,Barcelona,
3010,1212663,Škoda Auto a.s,Official partner and the official tour de france since 2004,,,3,"Serbia, Belgrade",,,,Serbia,Belgrade,
3026,935558,ENSEEIHT,"École nationale supérieure d'électrotechnique, d'électronique, d'informatique, d'hydraulique et des télécommunications",,,8,"2 Rue Charles Camichel, 31000 Toulouse, France",Rue Charles Camichel,2,31000,France,Toulouse,Telecommunications
3038,2883337,Spoxies Research,Spoxies B.V.,,,2,"Netherlands, Utrecht",,,3511,Netherlands,Utrecht,
3045,935044,Telecom SudParis,"Télécom SudParis est une grande école qui forme des ingénieurs généralistes, ainsi que des ingénieurs de spécialité et des docteurs",,,8,"9 Rue Charles Fourier, 91000 Évry, France",Rue Charles Fourier,9,91000,France,Évry,Telecommunications
3221,2884560,Soon,Soon | Collaborative Team Scheduling,,,2,"Netherlands, The Hague",,,2514,Netherlands,The Hague,
3240,935896,Leiden University,"Leiden University, The Netherlands, was founded in 1575 and is one of Europe's leading international research universities",,,8,"Rapenburg, 2311 Leiden, Netherlands",Rapenburg,,,Netherlands,Leiden,Research
3316,2882834,Perspective Research,Perspective Business DesignHome - Perspective Business Design,,,2,"Netherlands, Amsterdam",,,1011 MG,Netherlands,Amsterdam,
3350,1755715,Universitat Rovira i Virgili,,,,8,"Spain, Tarragona",,,43003,Spain,Tarragona,
3546,150993,ESIC Business & Marketing School,"Educational institute that educates its students in areas of marketing, trade, and management",,,4,"Argentina, Córdoba, Avenida Madrid",Avenida Madrid,,,Argentina,Córdoba,
3579,1713172,Dr. B. R. Ambedkar National Institute of Technology Jalandhar,Public engineering institute,,,4,"India, Jalandhar",,,144001,India,Jalandhar,
